20
0.00	16882.93	29235.45	7481.79	11362.78	9793.29	12610.43	26157.55	44278.91	12709.31	6648.00	15056.75	10111.89	10566.50	12915.60	6885.25	9735.31	13614.15	9652.00	14763.17
16882.93	0.00	11395.91	26410.28	32190.07	16805.83	35615.81	31288.12	40686.70	6068.50	24083.29	12594.97	11300.36	25339.64	24340.12	10273.49	29765.37	18589.54	17441.15	37094.25
29235.45	11395.91	0.00	43016.67	40064.17	30305.42	42348.46	32244.18	36091.22	12242.49	38667.30	14873.16	16138.88	26952.03	35013.58	23220.53	45729.27	27980.85	22029.65	45268.22
7481.79	26410.28	43016.67	0.00	15264.59	7116.51	9621.58	29038.43	51873.00	25636.20	11131.90	29396.51	20517.73	14550.47	16468.15	15215.31	12360.17	27471.29	21560.01	9507.89
11362.78	32190.07	40064.17	15264.59	0.00	15667.25	11954.67	17253.80	36756.54	24184.34	5451.61	22923.61	14929.57	7609.88	16885.45	12396.84	10309.56	23524.14	13599.26	17752.43
9793.29	16805.83	30305.42	7116.51	15667.25	0.00	13838.36	22511.07	46748.75	17841.51	11090.74	25791.50	15006.19	17048.88	15626.47	6905.04	14578.16	18924.08	20698.29	11897.91
12610.43	35615.81	42348.46	9621.58	11954.67	13838.36	0.00	24050.20	50385.52	27343.39	10823.64	28476.97	26232.82	8123.54	21286.67	16942.53	11344.93	30422.76	21270.00	9870.05
26157.55	31288.12	32244.18	29038.43	17253.80	22511.07	24050.20	0.00	26435.62	20441.41	16061.04	31005.11	15210.39	18125.91	16424.64	19508.65	29594.31	26338.78	33494.73	23285.69
44278.91	40686.70	36091.22	51873.00	36756.54	46748.75	50385.52	26435.62	0.00	39526.97	41204.97	37734.89	25609.50	31206.21	46065.38	42108.39	49964.46	56518.04	41168.60	54692.15
12709.31	6068.50	12242.49	25636.20	24184.34	17841.51	27343.39	20441.41	39526.97	0.00	15973.60	9579.19	7081.50	18091.96	17727.33	8022.52	23077.10	10735.37	13997.45	30639.57
6648.00	24083.29	38667.30	11131.90	5451.61	11090.74	10823.64	16061.04	41204.97	15973.60	0.00	20127.91	11562.54	9115.56	12165.17	6488.90	5863.26	18410.99	14528.32	15014.56
15056.75	12594.97	14873.16	29396.51	22923.61	25791.50	28476.97	31005.11	37734.89	9579.19	20127.91	0.00	11312.75	13046.00	25379.03	14290.73	22286.38	21066.36	5970.68	38525.94
10111.89	11300.36	16138.88	20517.73	14929.57	15006.19	26232.82	15210.39	25609.50	7081.50	11562.54	11312.75	0.00	13667.97	13659.83	8738.77	19803.93	13733.19	12915.75	26459.85
10566.50	25339.64	26952.03	14550.47	7609.88	17048.88	8123.54	18125.91	31206.21	18091.96	9115.56	13046.00	13667.97	0.00	17795.78	13908.14	12238.86	26972.23	10455.45	16542.29
12915.60	24340.12	35013.58	16468.15	16885.45	15626.47	21286.67	16424.64	46065.38	17727.33	12165.17	25379.03	13659.83	17795.78	0.00	12779.23	27756.20	13023.22	28111.58	12104.81
6885.25	10273.49	23220.53	15215.31	12396.84	6905.04	16942.53	19508.65	42108.39	8022.52	6488.90	14290.73	8738.77	13908.14	12779.23	0.00	12653.74	9763.23	12704.05	19816.98
9735.31	29765.37	45729.27	12360.17	10309.56	14578.16	11344.93	29594.31	49964.46	23077.10	5863.26	22286.38	19803.93	12238.86	27756.20	12653.74	0.00	28688.67	12610.45	24209.62
13614.15	18589.54	27980.85	27471.29	23524.14	18924.08	30422.76	26338.78	56518.04	10735.37	18410.99	21066.36	13733.19	26972.23	13023.22	9763.23	28688.67	0.00	23427.43	26146.05
9652.00	17441.15	22029.65	21560.01	13599.26	20698.29	21270.00	33494.73	41168.60	13997.45	14528.32	5970.68	12915.75	10455.45	28111.58	12704.05	12610.45	23427.43	0.00	34196.66
14763.17	37094.25	45268.22	9507.89	17752.43	11897.91	9870.05	23285.69	54692.15	30639.57	15014.56	38525.94	26459.85	16542.29	12104.81	19816.98	24209.62	26146.05	34196.66	0.00
