20
0.00	3929.73	3917.57	258674.33	3067.58	4012.41	262401.37	261908.66	113245.46	6806.79	600.12	4094.98	3184.17	1265.14	237410.10	1167.62	4072.77	3601.51	4862.85	4035.72
3929.73	0.00	8365.56	5885.60	222990.97	6044.48	8399.42	15111.66	120632.16	2418.97	2679.03	3266.55	7224.58	4193.26	210113.62	2735.84	7629.98	209089.41	4491.53	12549.32
3917.57	8365.56	0.00	19213.55	206857.91	3383.85	24233.48	12337.45	171209.38	14734.02	2703.06	3311.44	4332.24	2285.07	248970.02	1282.29	5545.81	7110.89	10321.62	4649.74
258674.33	5885.60	19213.55	0.00	251991.29	9926.71	7975.09	10408.09	55448.69	5876.74	258799.09	10825.04	288475.36	8322.38	11704.80	276610.17	12042.58	125009.07	243311.43	19164.45
3067.58	222990.97	206857.91	251991.29	0.00	210321.99	7005.47	6735.72	70557.44	237805.75	3224.49	227964.27	1519.66	209306.23	245255.89	3214.44	214384.96	4576.35	942.75	258052.97
4012.41	6044.48	3383.85	9926.71	210321.99	0.00	13941.48	6618.76	168622.62	7777.65	5063.39	6338.83	2091.31	6240.95	217576.68	2637.71	1403.40	8547.21	3244.40	4469.84
262401.37	8399.42	24233.48	7975.09	7005.47	13941.48	0.00	3768.17	63898.82	3969.71	245935.88	4213.15	277608.23	1991.63	3070.66	268490.20	17456.45	15162.81	232462.96	6941.54
261908.66	15111.66	12337.45	10408.09	6735.72	6618.76	3768.17	0.00	295054.73	2835.16	246575.30	4795.85	276366.32	3145.52	5494.67	264577.15	9483.06	15198.56	255260.83	4621.41
113245.46	120632.16	171209.38	55448.69	70557.44	168622.62	63898.82	295054.73	0.00	145838.46	126631.81	105967.65	141132.08	137779.71	63189.58	135060.13	151704.12	53713.73	116948.50	14859.18
6806.79	2418.97	14734.02	5876.74	237805.75	7777.65	3969.71	2835.16	145838.46	0.00	1280.43	2217.62	11602.94	1392.26	234323.11	4194.08	12009.76	231244.61	7048.20	3265.13
600.12	2679.03	2703.06	258799.09	3224.49	5063.39	245935.88	246575.30	126631.81	1280.43	0.00	4364.27	3441.71	1234.68	225317.48	750.74	2701.31	1438.82	5836.35	1888.91
4094.98	3266.55	3311.44	10825.04	227964.27	6338.83	4213.15	4795.85	105967.65	2217.62	4364.27	0.00	7249.83	1297.57	203664.19	4367.00	6470.14	12212.87	3924.51	3480.49
3184.17	7224.58	4332.24	288475.36	1519.66	2091.31	277608.23	276366.32	141132.08	11602.94	3441.71	7249.83	0.00	5178.87	235679.44	4486.35	1064.38	7221.02	3661.10	5758.82
1265.14	4193.26	2285.07	8322.38	209306.23	6240.95	1991.63	3145.52	137779.71	1392.26	1234.68	1297.57	5178.87	0.00	209354.59	2978.31	7492.02	4656.70	3234.66	1300.71
237410.10	210113.62	248970.02	11704.80	245255.89	217576.68	3070.66	5494.67	63189.58	234323.11	225317.48	203664.19	235679.44	209354.59	0.00	238806.39	203887.57	16026.25	217253.34	222685.61
1167.62	2735.84	1282.29	276610.17	3214.44	2637.71	268490.20	264577.15	135060.13	4194.08	750.74	4367.00	4486.35	2978.31	238806.39	0.00	2972.06	1359.38	3484.81	3597.19
4072.77	7629.98	5545.81	12042.58	214384.96	1403.40	17456.45	9483.06	151704.12	12009.76	2701.31	6470.14	1064.38	7492.02	203887.57	2972.06	0.00	6990.41	2253.26	4384.85
3601.51	209089.41	7110.89	125009.07	4576.35	8547.21	15162.81	15198.56	53713.73	231244.61	1438.82	12212.87	7221.02	4656.70	16026.25	1359.38	6990.41	0.00	4653.44	24594.81
4862.85	4491.53	10321.62	243311.43	942.75	3244.40	232462.96	255260.83	116948.50	7048.20	5836.35	3924.51	3661.10	3234.66	217253.34	3484.81	2253.26	4653.44	0.00	6610.42
4035.72	12549.32	4649.74	19164.45	258052.97	4469.84	6941.54	4621.41	14859.18	3265.13	1888.91	3480.49	5758.82	1300.71	222685.61	3597.19	4384.85	24594.81	6610.42	0.00
